CutGuage = 16
0 - 3 toronto 4-7 london 8-11 newyork
0,73430.6
1,67258.1
2,99012.9
3,107032
4,77656.4
5,71181
6,102271
7,113102
8,64944.9
9,59345.1
10,92846
11,93346.3
85118.8
CutGuage = 15
0 - 3 toronto 4-7 london 8-11 newyork
0,76906.6
1,66641.7
2,99690.8
3,107312
4,75960.1
5,71181
6,102271
7,112989
8,64916.9
9,58381
10,93038.5
11,94091.5
85281.7
CutGuage = 17
0 - 3 toronto 4-7 london 8-11 newyork
0,76004.1
1,67625.9
2,100072
3,108131
4,82152.6
5,71181
6,102271
7,114868
8,64799
9,58945.7
10,92926.3
11,93292.6
86022.5
CutGuage = 18
0 - 3 toronto 4-7 london 8-11 newyork
0,75825.8
1,67819.9
2,98633.2
3,107392
4,76194.4
5,71181
6,102271
7,106910
8,64324.4
9,59739.7
10,92847.3
11,93198.6
84694.7
CutGuage = 19
0 - 3 toronto 4-7 london 8-11 newyork
0,75522.3
1,67649.8
2,99438.4
3,106972
4,83014.2
5,71119.5
6,102271
7,109673
8,64324.4
9,59690.9
10,92379.9
11,93554.1
85467.4
CutGuage = 20
0 - 3 toronto 4-7 london 8-11 newyork
0,74687.5
1,68385.7
2,99128
3,107447
4,79839.2
5,71722
6,102271
7,106434
8,64738.5
9,60225.4
10,92913.8
11,92968
85063.3
CutGuage = 21
0 - 3 toronto 4-7 london 8-11 newyork
0,74019.2
1,68211.5
2,99968.8
3,107336
4,73990.4
5,71181
6,102271
7,108157
8,64740.1
9,60217.8
10,91937.3
11,93516.6
84628.8
CutGuage = 22
0 - 3 toronto 4-7 london 8-11 newyork
0,74019.2
1,67825.4
2,100291
3,106680
4,79839.2
5,72281.8
6,102271
7,109890
8,64738.5
9,59749.8
10,91746.9
11,93524.4
85238
CutGuage = 23
0 - 3 toronto 4-7 london 8-11 newyork
0,74116.3
1,65612.3
2,101077
3,106144
4,78178.8
5,71181
6,102271
7,111584
8,64519.7
9,57519.9
10,92376.4
11,93050.6
84802.6
CutGuage = 24
0 - 3 toronto 4-7 london 8-11 newyork
0,74116.3
1,66951.6
2,100225
3,108656
4,78178.8
5,71119.5
6,102271
7,111584
8,64738.5
9,59966.4
10,92406.1
11,93469.2
85306.8
CutGuage = 25
0 - 3 toronto 4-7 london 8-11 newyork
0,73814.6
1,66034.3
2,98510.5
3,107613
4,78178.8
5,70630
6,102271
7,103035
8,64738.5
9,59468.9
10,91995.1
11,92968.5
84104.8
CutGuage = 25
0 - 3 toronto 4-7 london 8-11 newyork
0,70582.7
1,66609.3
2,99109.6
3,101979
4,70991.1
5,64709.2
6,95606.1
7,104976
8,63597.9
9,56570.7
10,91292.7
11,96479
81875.3
