CutGuage = 10
0 - 3 toronto 4-7 london 8-11 newyork
0,80441.5
1,76999
2,110203
3,116877
4,85258.1
5,72431.2
6,105191
7,127710
8,67463.8
9,62079.8
10,101215
11,102747
92384.7
CutGuage = 11
0 - 3 toronto 4-7 london 8-11 newyork
0,77904.1
1,76999
2,110092
3,118353
4,85258.1
5,71953.6
6,105191
7,126728
8,66985.7
9,61875.4
10,101215
11,101837
92032.7
CutGuage = 12
0 - 3 toronto 4-7 london 8-11 newyork
0,77375.7
1,76999
2,109608
3,116039
4,84940.1
5,71953.6
6,105191
7,127059
8,66884.7
9,62014.5
10,96826
11,101320
91350.9
CutGuage = 13
0 - 3 toronto 4-7 london 8-11 newyork
0,79044.8
1,76419.6
2,109495
3,115796
4,83577.3
5,71953.6
6,105191
7,126410
8,66871.3
9,61924.1
10,96005.6
11,102008
91224.7
CutGuage = 14
0 - 3 toronto 4-7 london 8-11 newyork
0,78800.4
1,76558.3
2,108120
3,116347
4,83577.3
5,71953.6
6,105191
7,123989
8,66668
9,61924.1
10,96616.5
11,100924
90889.1
CutGuage = 15
0 - 3 toronto 4-7 london 8-11 newyork
0,77254
1,76558.3
2,108570
3,116278
4,84816.4
5,73086.1
6,105191
7,122735
8,66950.6
9,62014.5
10,95895.6
11,100380
90810.8
CutGuage = 16
0 - 3 toronto 4-7 london 8-11 newyork
0,77765.2
1,76276
2,108205
3,114451
4,79282.4
5,73392.2
6,105191
7,118732
8,67931.7
9,61942
10,98169
11,99913.6
90104.2
CutGuage = 17
0 - 3 toronto 4-7 london 8-11 newyork
0,78448.5
1,75269.2
2,108083
3,115258
4,76866.9
5,73335.1
6,105191
7,119548
8,67049.3
9,62014.5
10,96188.2
11,99010
89688.4
CutGuage = 18
0 - 3 toronto 4-7 london 8-11 newyork
0,77521.9
1,72483.6
2,108064
3,114012
4,85697.4
5,72494.5
6,105191
7,120041
8,66278.8
9,62096.1
10,95753.2
11,98703.6
89861.4
CutGuage = 19
0 - 3 toronto 4-7 london 8-11 newyork
0,77050.4
1,71870.2
2,108064
3,114803
4,83932
5,71953.6
6,105191
7,115900
8,66278.8
9,62005.6
10,95636.2
11,99829.9
89376.2
CutGuage = 20
0 - 3 toronto 4-7 london 8-11 newyork
0,77236.1
1,72497.3
2,107986
3,114719
4,80715.8
5,71953.6
6,105191
7,120928
8,65927
9,62713.7
10,95272.5
11,98105.4
89437.1
CutGuage = 21
0 - 3 toronto 4-7 london 8-11 newyork
0,77663.8
1,72339.1
2,107870
3,114149
4,84334.5
5,71953.6
6,105191
7,120928
8,65927
9,62661
10,95644.1
11,100065
89893.9
CutGuage = 22
0 - 3 toronto 4-7 london 8-11 newyork
0,77663.8
1,72224.4
2,107870
3,115616
4,81096
5,71953.6
6,105191
7,120983
8,65927
9,62570.5
10,95567.2
11,99053.3
89642.9
CutGuage = 23
0 - 3 toronto 4-7 london 8-11 newyork
0,77605.8
1,73661.1
2,107899
3,115708
4,81858.2
5,71953.6
6,105191
7,120983
8,65927
9,62246.4
10,95567.2
11,99529
89844.1
CutGuage = 24
0 - 3 toronto 4-7 london 8-11 newyork
0,77401
1,72282.1
2,103222
3,115708
4,77294
5,72494.5
6,105132
7,121323
8,65927
9,61188.3
10,95758.4
11,98957.1
88890.6
CutGuage = 25
0 - 3 toronto 4-7 london 8-11 newyork
0,77605.8
1,72774.7
2,104182
3,115747
4,85432.3
5,72929.8
6,105191
7,118222
8,65927
9,60848
10,95701.1
11,98168.5
89394
